Ship Mode,Segment,City,State,Region,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
Second Class,Consumer,Henderson,Kentucky,South,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136
Second Class,Consumer,Henderson,Kentucky,South,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,190.4298
Standard Class,Consumer,Fort Lauderdale,Florida,South,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-153.3456
Standard Class,Consumer,Los Angeles,California,West,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694
Standard Class,Consumer,Los Angeles,California,West,Tables,Chromcraft Rectangular Conference Tables,1317.492,8,0.2,85.3092
Second Class,Consumer,Philadelphia,Pennsylvania,East,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
Standard Class,Consumer,Orem,Utah,West,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,190.4298
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",1317.492,7,0.5,-153.3456
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
First Class,Corporate,Richardson,Texas,Central,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
Standard Class,Home Office,Houston,Texas,Central,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
Standard Class,Home Office,Houston,Texas,Central,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
Standard Class,Consumer,New Albany,Indiana,Central,Furnishings,Longer-Life Soft White Bulbs,10.02,2,0.0,2.9568
Standard Class,Consumer,New Albany,Indiana,Central,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981
First Class,Consumer,Troy,New York,East,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
Standard Class,Consumer,Los Angeles,California,West,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328
Standard Class,Home Office,Chicago,Illinois,Central,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
Standard Class,Consumer,Memphis,Tennessee,South,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912
Standard Class,Consumer,Memphis,Tennessee,South,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
First Class,Corporate,Houston,Texas,Central,Furnishings,"6"" Cubicle Wall Clock, Black",10.02,3,0.6,-5.8248
Second Class,Consumer,Houston,Texas,Central,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
Second Class,Consumer,Columbia,South Carolina,South,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156
Second Class,Consumer,Minneapolis,Minnesota,Central,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.5354
Second Class,Home Office,New York City,New York,East,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426
Standard Class,Consumer,Aurora,Colorado,West,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
Standard Class,Corporate,New York City,New York,East,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0.0,10.9096
Standard Class,Consumer,Seattle,Washington,West,Tables,Hon Racetrack Conference Tables,787.53,3,0.0,165.3813
First Class,Consumer,Wilmington,Delaware,East,Furnishings,Artistic Insta-Plaque,47.04,3,0.0,18.3456
Second Class,Home Office,Houston,Texas,Central,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794
Standard Class,Consumer,Bloomington,Illinois,Central,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-153.3456
Second Class,Home Office,Los Angeles,California,West,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602
Second Class,Home Office,Los Angeles,California,West,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0.0,26.2416
Standard Class,Consumer,Roseville,California,West,Furnishings,Longer-Life Soft White Bulbs,43.12,8,0.0,20.6976
Second Class,Corporate,Philadelphia,Pennsylvania,East,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35
Standard Class,Home Office,Newark,Ohio,East,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.2,12.9096
Standard Class,Corporate,Franklin,Wisconsin,Central,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1317.492,8,0.0,190.4298
Second Class,Consumer,Seattle,Washington,West,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764
Standard Class,Consumer,San Antonio,Texas,Central,Chairs,SAFCO Arco Folding Chair,1317.492,8,0.3,-24.858
Standard Class,Consumer,Los Angeles,California,West,Chairs,"Global Value Steno Chair, Gray",340.144,7,0.2,21.259
